start	end	text
0	10000	Because you can directly check what's working or not.
10000	20000	Who is doing sports?
20000	22000	No one is doing sports.
22000	38000	Who has done sports?
38000	42000	Everyone has done in the past.
42000	44000	We used to have sports classes.
44000	46000	In the university?
46000	48000	It was fun.
48000	50000	We were playing ping pong.
50000	54000	And badminton.
54000	58000	I think it's not working this one.
58000	64000	Who is tall?
64000	70000	Tallest is me.
70000	72000	You are tall.
72000	76000	I think I can reach.
76000	78000	Who can jump?
78000	94000	Jump in the paper.
94000	102000	Don't fall down.
102000	114000	Jump in the paper.
114000	130000	Who watches the video?
130000	138000	You watch the video.
138000	146000	The paper has one mutation.
146000	150000	Usually mutations are not so good.
150000	152000	They can bring you some disease.
152000	158000	There are some mutations called gain of function.
158000	162000	This is a specific gain of function.
162000	164000	Which is very good.
164000	174000	Everyone wants to have this mutation.
174000	178000	You can see the difference between the left.
178000	180000	Which is a normal mice.
180000	182000	The one who has the mutation.
182000	184000	Can you see?
184000	186000	Super jump.
186000	188000	I guess you want to have this mutation.
188000	192000	So you can make a super jump.
192000	194000	By the adventure?
194000	200000	No, by the mutant.
200000	208000	The paper was published in Japan.
208000	212000	No, not in Japan.
212000	216000	Japan is named, but the professor isn't in the US.
216000	218000	Mechanosensitive ion channels.
218000	224000	Until now we mostly talk about voltage-gated ion channels.
224000	230000	Channels that are open by changing the plasma membrane potential.
230000	234000	This time we talk about ion channels.
234000	236000	Mechanosensitive.
236000	240000	So it's the pressure that is applied on the surface of the plasma membrane.
240000	242000	That triggers the channel opening.
242000	244000	Next class in ten tones.
244000	250000	And regulate the physical performance.
250000	256000	So, they prepare what is called a knocking mice.
256000	264000	With a specific mutant of this channel called piezovoi.
264000	270000	But there is also another deletion mutant.
270000	274000	Who was recently found to have a gain of function.
274000	278000	So there are different mutants that can provide a gain of function.
278000	282000	And if you read the paper until the end.
282000	290000	They also found this mutation in the population of Jamaica.
290000	296000	And especially in a population of people who are athletes.
296000	302000	Some athletes have this mutation and they can perform well.
302000	306000	That's quite interesting.
306000	310000	What was interesting for me when I found this paper.
310000	314000	Is that the mutation does not occur in the muscle.
314000	318000	We always see in the muscle is important.
318000	322000	For sports performance, for athletic performance.
322000	324000	Physical performance.
324000	334000	But ten tones who hold the muscles are also very essential for physical performance.
334000	338000	So in my lab we mainly focus on the muscle.
338000	346000	Ten tones are also important components for physical performance.
346000	348000	Especially ten tones.
348000	354000	Because they hold the muscle to the bone.
354000	358000	So they are made of a lot of fibers.
358000	362000	A lot of collagen elastic fibers.
362000	366000	They are elastic.
366000	372000	And they provide a specific force for athletic performance.
372000	378000	Ten tones are very important here for the runners.
378000	381000	Or here for the muscles.
381000	385000	So they accumulate what is called elastic energy.
385000	388000	To promote the physical contraction.
388000	392000	When you want to jump, you always bend.
392000	396000	And this will pull the ten tones.
396000	404000	It can be released in form of energy.
404000	407000	So the ten tones.
407000	411000	Once you rely on what is called the extracellular matrix.
411000	417000	So the cell will produce the proteins that are exported outside the cell.
417000	421000	They will accumulate and they will form long fibers.
421000	425000	So they can have mechanical loadings.
425000	427000	And improve the function.
427000	440000	So this extracellular matrix is formed through accumulation of different proteins.
440000	444000	Mainly collagen fibers.
444000	454000	And you have cells, tenocytes that build this ten tone.
454000	458000	And the more your ten tones are thick and important.
458000	465000	The more your strength or your capacity to develop athletic performance will be increased.
465000	473000	And this ten tone will, how to say, synthesize or secret collagen.
473000	477000	Through mechanical stimulation.
477000	484000	So the more you exercise, the more you induce a mechanical force on your ten tone.
484000	488000	And this will stimulate the formation of collagen fibers and muscles.
488000	492000	And that's the, that it is about.
492000	497000	And how this ten tone has a mechanical stimulator.
497000	505000	Is through the, through the stimulation of a mechanical sensor.
505000	508000	Which is called piezo one.
508000	511000	And this will induce the calcium influx into the cell.
511000	517000	And this calcium act as a messenger to stimulate the gene transcription.
517000	519000	So this is a simple scheme.
519000	521000	So you have a ten tone.
