start	end	text
0	4200	You can sense electricity with the finger, but that's pain.
4200	7680	That's not the electroreception.
7680	8680	So don't try things.
11400	17680	Yeah, so I use this article, because at first,
17680	19720	I think it's very interesting.
19720	22800	When I first read the article, I don't know about anything
22800	25280	about electroreception.
25280	30560	And then it's because it has a good, how to say,
30560	33520	lot of electrophysiology results.
33520	38520	So it's a good example to learn about ion channel.
38520	42360	So it's called the molecular basis of ancestral vertebrate
42360	45240	electroreception.
45240	51760	It's a very famous professor that introduced in the field
51760	54160	of ion channel.
54160	59040	So it's an article that was published in Nature in Africa
59040	60040	a few years ago.
66520	70280	Talk about electroreception.
70280	71840	So what is electroreception?
71840	77360	So these animals are all electro-sensitized.
77360	80840	So they can all feed the electricity.
80840	84200	Even a small amount of electricity they can feed.
84200	87800	This one, not only detects, has electroreception,
87800	93360	but it also can discharge a very strong electric shock.
93360	95840	If you are in the sea, don't touch it.
95840	99880	Otherwise, you will feel big pain.
99880	102480	So you have fish, amphibian, bees,
102480	107440	also all kind of animals that can feed electroreception.
107440	109680	One of the reasons is probably because they
109680	113040	don't have a clear vision, especially for the fish
113040	119880	in the water, or there are night-living animals.
119880	122680	And it's used for hunting, or escape,
122680	125000	and even for navigation.
125000	128240	And for some of them, elephant news fish,
128240	132240	an electric torpedo ray, is for communication.
132240	136040	They communicate with each other between the species.
136040	141080	Because this elephant news fish is a weak electric fish.
141080	145600	So it can generate some electric shock, but very small,
145600	152320	just to communicate with pairs, also torpedo ray.
152320	156680	So in term of electroreception, just a brief introduction
156680	158360	about electroreception.
158360	162480	So you have to type passive electroreception,
162480	165520	like the shark in the paper.
165640	168960	Just perceive the low-frequency environmental
168960	173760	electric activity, or active electroreception,
173760	176160	is the perception of distortion.
176160	180640	High-frequency shark generate electric feed.
180640	185920	So some fish, like this one, or this one,
185920	191920	can generate electric pulse with high frequency,
191920	194120	with high level, or small level, and this
194120	200400	helps for them to communicate, or to locate something.
200400	204200	So electro-location, social communication,
204200	209280	through active electric charge, this charge.
209280	218080	And in the article, they talk, they use the shark, kind of shark,
218080	222440	and they talked about an organ that is here,
222440	227200	and it's called the, not an organ, but a small duct,
227200	229800	that's called the ampullae of Lorenzini.
229800	232880	So these fishes that have an electro-sensation
232880	237880	have a big network of ampullae of Lorenzini,
237880	243240	and this is a small structure in fishes.
243240	250120	You can see the pulse over here, that detect electric field.
250120	253000	So it can help the fish to navigate,
253000	256200	and when it's not so far, quite close,
256200	260640	it can help the fish to catch the prey.
260640	263080	And this is the structure they have been studying.
263080	267000	So this is the ampullae of Lorenzini, very briefly.
267000	272720	So it's a simple, small aperture here in the epidermis.
272720	275000	So it makes a small tube like this,
275000	276720	and at the bottom of the tube, you
276720	279840	have cells that are located.
279840	282920	And these are the electro-receptor cells.
282920	288960	And of course, they are connected to axon from NERVs.
288960	293200	And they detect the small change in electricity,
293200	297240	and they send, they can transmit,
297240	302280	they can transmit that, they can transmit the information
302280	304120	to the central nervous system.
304120	308640	And you have support cells here that help these cells to lead.
308640	310280	And you have different morphologies
310280	316680	of this ampullae of Lorenzini, depending on the animals.
