start	end	text
0	13360	Electro-reception, so it's the ability to sense a little bit the electrical field of animals
13360	18720	that are around other animals, okay, and you have animals that can feel electricity,
19360	28000	and the objective for the researcher was to find what's the cause, how these animals,
28080	33600	what is the molecular mechanism of the electro-reception, okay, so they are using
34400	45920	RNA sequencing and combine with electro-physiological studies, so patch clumps, okay, patch clumps,
46880	56080	now they could identify two different ion channels, and it's called CAE 1.3,
56720	60720	which is a calcium selective channel, okay,
65760	70320	and the other one is BK, which is a potassium
70320	84880	selective channel, and its activity is modulated by calcium ion, okay,
85840	95120	so we saw that this CAE 1.3, which is also expressed in mammalians, including human and rat,
96000	108080	has a little customized ad, which consists in a few amino acids,
111440	118560	that is absent in other species, okay, like human or rat or even zebrafish,
119440	129680	and this little piece of amino acid, this little chain of amino acid,
130240	141760	is found between S2 and S3, so it's S, I remind you, so these channels are
142080	165440	tetramer of 6, alpha and transprime domain, okay, 1, 2, 3, 4, 5, 6, okay, so they are called
165440	177600	S1, S2, S3, S4, S5, S6, so all the channels have alpha elix, transprime and alpha elix,
177600	185040	and they are all named from S1 to S4, 5, 6, 8, 9, 4, 10, depending on their structure,
186000	193200	and in the case of the voltage, gated channels like CAE 1.3, it's a voltage gated, they have
193920	200880	in S4, what is called a voltage sensor, minus, so the voltage sensor contains
200880	204560	arginine residues, which are electrically charged,
209200	218880	voltage sensor, okay, and this voltage sensor moves according to the plasma membrane potential,
218880	225920	okay, so when the plasma membrane potential is negative inside, the voltage sensor is attracted
225920	231680	by the negative charge, and when the polarity change because of the depolarization, the voltage
231680	241600	sensor moves, and it opens the pore that is located here, okay, so this S5 and S4 makes the
242560	257840	selective pore for the ion, four times the selective pore, okay, and what they found is that these
258800	264240	little five amino acids are located here, okay,
267360	270480	they are located here, and they made a little,
273120	275760	they are slightly positive, so they make a little
278640	285520	local, very local change in the membrane potential difference across here, so
286480	294800	the idea is they are a little bit responsive force for S4, okay, and that's what they could
295520	303040	measure here, so here is the experience where they took these five amino acids and they added
303840	311600	into the rat sequence, and they also neutralized these charges in the little skate, and when
311600	320480	they neutralized the charge, the phenotypes go back to rat phenotype, down on conductance,
321120	328240	and down on gating, okay, and that was the same for when they put the sequence in the rat, they found
329200	340400	the, they found a shift in the curve to the conductance over the gating current, okay,
340400	350880	that is the same to the skate, okay, so they concluded in this figure, so they made
351600	359040	a, they measure the kinetics, okay, of the activation of the current between the charge
359040	366240	and the neutral, and they could see some little difference between the charge and the neutral
366240	374080	in the kinetics, and they made their model, so the voltage sensor needs a large in the rat,
374160	380800	the Mamaria, the voltage sensor needs a large shift in the membrane potential to move,
381840	389680	and then to open the channel, while the skate, because of the presence of this positive charge,
389680	400720	this local presence of the positive charge, already pre, pre, already started the movement,
400720	409760	or not started, but really pre-position for a small, for the need of a very small
410880	417360	potential change to get to the channel, so they make it much more positive compared to the,
418240	426640	compared to the Mamarian one, okay, and then they compare, they also check
426640	440000	the, the Mamaria and the little skate, uh, vacate channel, uh, that's the second part,
440000	447280	just, uh, we, we, we, here, so the vacate channel is the calcium-sensitive, uh, potassium-selective
447280	455040	channel, it's also a voltage, uh, gator, so when you depolarize, the channel will open,
455120	458880	but there is a calcium modulation, so there is a calcium binding site,
460160	464320	somewhere, I forgot where, there is a calcium binding site in the channel,
466320	474480	the channel, there is, the calcium can bind somewhere and potentiate, uh, the channel activity,
475120	480720	okay, there are points b, because they are big, so they have a large conductance, so they let
481200	487840	potassium pass, okay, and so what they did, because they had this, the RLA sequence,
487840	495760	they could clone, uh, as we saw last week on the CN3.1, they sub-clone, or they clone the CMA
497360	507760	of BK, they put the CMA in a plasmid vector, and then they transfect the plasmid into the hexes,
511280	521120	and they perform the experiments, okay, so BK, because they are big, okay, they are usually measured
521760	530400	in single-channel mode, okay, so the current that you see here,
532800	539600	okay, these are single-channel measurements, so how they achieve the single-channel measurement?
540720	559440	Okay, so you have the cell, so last week for the, for the, for the CAD 1.3,
560960	569920	they applied the pipette, okay, they made a negative pressure,
570720	574480	and the negative pressure is strong enough to break the membrane, okay,
576000	581840	and then you have what is called the, that's the earth, you have the two electrodes,
584160	590960	this is for the whole cell, because you can measure the channels, all the channels on the surface
590960	598240	of the plasma membrane, okay, and that's how they measure CAD 1.3 activity, so they measure
598800	609200	an influx of calcium, and I remind you, an influx of positive charge is seen as an
610000	617280	inward current, as a negative current, okay, as a negative current, it's a positive cation,
617280	623680	but it's a negative current that you measure, okay, and then they measure the intensity of the current,
624400	631280	and then you plot the ID curve, okay, in the case of the BK,
635200	642320	and the same, they apply the pipette, okay, in the, over the cell, but
642320	651440	they came,
654800	665200	but then they rapidly, and in a rapid movement, they pull out the pipette, okay,
665600	673120	from the cell, the cell is attached to the surface, okay, so they just pull out
673680	682240	everything, and they could rip out a piece of membrane, okay, so you have just,
683840	690560	in the pipette, you catch a piece of membrane, okay, and if you are lucky,
690800	703920	you have a one or two channel in the membrane, and you can measure their activity, okay,
703920	708480	this is called, when it's open like this, okay, this is called the force cell,
710240	717200	configuration, they are called configuration, and this is called the inside
718080	721520	out configuration, why inside out,
728240	737200	so the pipette volume here contains the solution, okay, that's limit the intracellular,
737680	747360	the intracellular cytoplasm solution, and then you have here the extracellular
749040	757600	solution, okay, so we call it vast solution or extracellular
757680	767760	solution, okay, and this one is called the pipette
769200	772400	solution, and it's the intracellular
776640	783280	solution, it's limit the intracellular solution, but in the case of this single cell configuration,
783920	786000	this becomes the extracellular
789440	800960	domain, okay, this is out, and here the vast solution becomes the inside of the cell,
800960	809040	so that's why the inside is out, okay, so you have an access to the intracellular domain, okay,
810000	818320	so that's why it's called inside out, and here is the intracellular domain,
818320	825760	and here is the extracellular domain, the extracellular domain becomes inside the pipette, okay,
827120	830080	and then they measure the current, so they have to put
830080	840960	a lot of rotation in the vast solution, okay, while when you have a solution like this,
840960	848880	you need to put rotation inside the pipette, okay, and the part that the rotation is moving out,
849840	860960	okay, and you can see a positive current, okay, and then they compare the mouse, sorry,
860960	870240	it's not a rat, it's a mouse, okay, the mouse cdna of bk with the scale cdna of bk,
871040	880080	so what do you see here, it's very obvious, okay, you see a large current,
881760	890640	about 20 picohm pair, or even self picohm pair when you are at 100 millivolts, okay,
890960	901680	and what you see in the in the little bk, less than 10 picohm pair, okay, so there is already a
901680	914320	dramatic change in the single channel conductance, the single channel current between the scale and
915280	922800	the mouse, okay, if you zoom a little bit, you can see here the small current, it's the time,
924640	932080	if you zoom here for example, you can see the difference at the same scale between the current,
932080	938880	okay, and then they count the events, the number of events that are
941520	950080	the time, okay, the length of the opening time, okay, and you can see that they are open
952720	959360	at a mean, okay, they fit, the power and the power is 5 millisecond compared to 1 millisecond,
960320	967680	so not only they are open more, they have a larger influx of ions,
968400	976320	but they also are open a longer time than for escape, okay, so it's the same gene,
979760	986320	but their activity or their phenotype, their mark of activity is much different, okay,
990000	997280	and then they wanted to know the difference, so they did the same for the CLD 1.3, they
997280	1006000	checked the sequence, and they only found a very, very small difference, and the difference was
1006960	1028960	3 large ones, 3 large ones, what are you going to say, this one, yeah, okay, here, okay, here,
1028960	1046160	and here, okay, yeah, and here, here and here, yeah, these two amino acid, okay,
1046960	1052720	I and E, what is the I? Yeah, and what is E?
1058320	1068640	Maybe, something like this, G, okay, and in the skate, what do you have, an A or an E,
