start	end	text
0	5000	You have to see the enemy can, I think the line is moving downward.
5000	8000	This is a very short time, one microsecond.
8000	15000	But I think while they recall or make their simulation, the line is moving down.
15000	24000	So this probably indicates that ions move inside.
24000	33000	And here you can see that it's moving up to that line on the other side.
33000	46000	And simulation is just computerized simulation to recreate movement of protein structure or ion movement and things like this.
46000	52000	I'm not sure how to work, but it's always on a very short period of time.
52000	57000	Microsecond or PT or 100 microsecond.
57000	58000	Yes.
58000	67000	I mean, I want to ask about perhaps how the researchers use cryo-EM to get the structures of the protein.
67000	77000	Because I know how scanning or electron microscopy works to give us atomic information.
77000	81000	Yeah, so they have to freeze.
81000	93000	And then they have a large electron microscope, and the beam is passing through the sample.
93000	97000	And then you can get little pictures like this.
97000	104000	And from this, using I guess computer, they can reform the protein.
104000	107000	And then they can make the alphabets.
107000	112000	So they spin the sample?
112000	116000	No, I think there are many samples.
116000	123000	And then they take different pictures with different angle, I guess.
123000	128000	But I don't think the sample is rotating somewhere.
128000	133000	I think they can take pictures of different.
133000	137000	The proteins are randomly displayed.
137000	141000	And can rotate.
141000	144000	So you just spin the protein.
144000	147000	So you have many of the simple things.
147000	156000	So when you shine the electron beam, you have different angles of the simple mechanism.
156000	159000	Let's say you have a simple thing.
159000	162000	Let's say you have some 2 nanometer thick sample.
162000	165000	You have the proteins in different orientations, but in the same sample.
165000	169000	So when you take a single image, you have many orientations in each effect.
170000	173000	You can also rotate the stitches.
173000	178000	So basically give them a CT scanner.
178000	182000	Yeah, it's kind of a CT scanner.
189000	193000	So I think this paper is very nice.
193000	196000	I also read it for the first time.
196000	201000	There is a new, recently, there was a Nobel Prize.
201000	207000	It got a Nobel Prize for designing proteins.
207000	211000	So you can design and make proteins and make them functional.
211000	214000	And this is one of the first paper.
214000	217000	Maybe not the first.
217000	225000	This is the first voltage-gated, annual channel that was designed and tested in D.O.
225000	230000	And it suppressed the neuron firing.
230000	242000	So chloride is anion, so it has a negative charge.
242000	257000	So most of the other ions are usually positive, calcium, potassium, proton, and medium.
257000	261000	So you have channels for zinc.
261000	265000	You have channels for cation.
265000	269000	You also have channels for chloride.
269000	279000	So chloride has many important functions in the physiology in our body.
279000	287000	And you have various different types of chloride channels that have been discovered.
287000	289000	They have important functions.
289000	294000	And you also have associated disease with chloride channels.
294000	296000	Do you know some of these?
296000	297000	No.
297000	299000	Okay.
299000	302000	I should set up.
302000	306000	Which are quite famous?
306000	308000	ADHD.
308000	309000	Huh?
309000	310000	ADHD, maybe.
310000	313000	We all know this one.
313000	314000	epilepsy.
314000	315000	Huh?
315000	317000	epilepsy.
317000	321000	I don't know why.
321000	323000	Yaar?
323000	326000	Is this the five voltage?
326000	329000	Is this a channel?
329000	330000	It's a channel.
330000	332000	Is this a channel?
332000	334000	That is a lamp.
334000	339000	And we cannot secret the phosphate.
339000	342000	And it's very dramatic.
342000	359000	I think CFTR is a gene that belongs to the ABC transporters that make a chloride channel
359000	366000	station on CFTR. They are very, not common, I wouldn't say common, but they are quite
366000	373000	Europe, and Europe and Japan are more rare. Of course, they are rare. The Japanese are
373000	381000	not so much, but in Europe they are quite a lot of station, and this is one of the...
381000	406000	Another one is myotonia. Myotonia function. It's a muscle disease, and it affects the
406000	421000	chloride channel for the CLC1. It's a voltage-gated chloride channel, and it's very important
421000	433000	for your muscle relaxation. Chloride usually is a negative ion, so it usually reduces the
433000	440000	excitability of the brain, the growth of the muscle. It's important for the muscle relaxation
440000	450000	and the function. The objective was to... It's very simple, so everything is explained
450000	460000	in the title. It was designed voltage channel, and they tested the illegal, and they suppressed
460000	472000	neuron action potential. They are graphical abstract, so there is a huge in silico work
472000	482000	for designing, testing, and then they test the channel electrophysiologically. They did
483000	495000	structural analysis to see how the channel moves. Finally, they expressed their channel
495000	503000	in the neuron, and they could see that when expressing these channels, they reduced the
503000	511000	activity of the neuron. It's not quite a very nice work. That's why it was published
511000	526000	in the paper itself. The in silico work was tested on the electrophysiologically and structurally,
526000	533000	but there was always feedback by changing and fine-tuning the channel they could improve.
533000	542000	It's quite a large work, and you can see that there's a lot of author in the... There's
542000	550000	a lot of author that contribute to this research because they need different specialities.
550000	557000	Some of the researchers are specializing in silico. Some of the researchers are specializing
557000	567000	in electrophysiologically. There was also some biochemical and molecular characterization.
567000	576000	There are some specialists of the structural, so the prior EM, and specialists of measuring
576000	582000	action potential neurons. We need all these different specialities together. You cannot
582000	588000	do one researcher. I think it's very difficult for one or two researchers to do this kind
588000	596000	of work. You need a teamwork, and you will see in the future when you do research, you
596000	603000	have to do teamwork. It's called collaborations. When you have two collaborators, you can make
603000	612000	papers like this. Nowadays, we've got one researcher, like in the past and everything
612000	623000	by himself. The first step for doing this paper was the design. I'm not especially
623000	632000	interested in the design. I have some friends that do protein design now. What they have
632000	639000	to know before they start their design is how the channels structure looks like. You
639000	646000	can see they have different... They are usually alpha leaks in the transformed brain domain,
646000	652000	and you can see that they have different configurations. They can be trimer, they can
652000	670000	be... One, two, three, four, five. And here, one, two, three, four, five. Here, five. Some
670000	680000	they have... Here, they have also eczema, or they have trimer, and even dimer. This is
680000	696000	a case for chloride channel. You have dimer. Here, you have... So I'm using the tetramer.
696000	704000	For example, you have the core. You have the formation of water feed core or porous
704000	714000	structure that allows the passage of ions. This is an example. It's a voltage-gated potassium
714000	724000	channel, so it's a tetramer. And within the tetramer, you have the formation with two
724000	732000	alpha leaks and a loop. You have the formation up here, okay? Two alpha leaks, so S5, S6,
732000	740000	as we discussed previously, and a loop. They form a form, okay, a selective form for the
740000	747000	passage of ions, which are usually dehydrated. And in the context of the form, you have the
747000	754000	formation of the structure that replaced, or at this minute, the hydration of the ion
754000	764000	in the water, okay? So they have oxygen. The amino acid-side atoms are oxygen, and they
764000	773000	are exposed to the form, and they form the hydration channel. You have also pentamine,
773000	783000	okay? And the design is a chloride channel in the plant, in the chloroplast membrane,
783000	793000	okay? And it's a pentamine and form a form, a channel in the membrane of the plant, okay?
794000	806000	And this structure, so this, there are symmetry in proteins, like in molecules, and they
806000	815000	said they design a C5 symmetry, so it's like pentagon, okay? And they put five, so you
816000	829000	design it as five, so you have also C4, okay, and C3, okay? That's a chemistry. So you have
829000	840000	heard about C5 symmetry? Yeah. Not good memories. Not good memories. But for protein, you have
840000	847000	similar, okay? You have similar things. So they did this. So they, I don't know exactly
847000	856000	how, they used a lot of different computer program, including alpha-4, but alpha-4 was
856000	865000	used to predict the structure of their design, so the design, and they tested more than
865000	873000	thousand sequences, and they made alpha-4 to prediction, okay? So the structure was
873000	881000	something like this, so 1, 2, 3, 4, 5, and one of the S2, one of the alpha leaks, so
881000	890000	they used a trimer, three alpha leaks, and one was inside this C5 structure, okay? And
890000	896000	they used 15, alpha leaks of 15 amino acid, okay? And they could check that it's a nine
896000	904000	well, so you read the paper, so they could make a prediction structure, okay? And it
904000	913000	makes also a prediction structure of a fusion protein, BTT, which is from potassium channels,
913000	922000	so they call it DMZCH. There's a lot of names, BTT, okay? Because this fusion protein are
922000	930000	good for resolving the structure of the channel, okay? So they first put the alpha leaks like
930000	938000	this, and choose one of this structure, and try to measure, so then, from the amino acid
938000	948000	sequence, they have the DNA sequence, and they could order one DNA sequence, and as
948000	959000	we said, they put this in a plasmid, okay? So they put the plasmid from the design. From
959000	966000	the design, they got the cDNA, so it's all synthetic, so I guess it costs quite a lot,
967000	980000	and the cDNA, they express in a cell, okay, and give the electroencelogy characterization, okay?
981000	995000	So there is also a lot of supplemental figures, so that's important. So the first
995000	1010000	one is DMZCH8BTP, so no current, okay? Why? But then they made a modification, and they
1010000	1030000	could see the current. Okay, how many they put? They put three, huh? There were, why they choose
1030000	1041000	the arginine, they put three, I think, maybe around here, around here, okay? And they put
1041000	1047000	the arginine, okay? So you said that they are put in a plasmid, so what is the advantage of putting
1048000	1064000	arginine inside the, inside the, that's aligned inside the form? Yeah, okay, that was it, so they
1064000	1078000	can attract it, all right? Okay, so they can solve the problem of the, say, the PDE, and what else?
1078000	1101000	What is the advantage of arginine? The process is in charge. Yeah, a sensor op, yeah, op, op, all page, okay?
1101000	1112000	So they move in an electrical field, and if they move in an electrical field, they displace the alphabets, okay?
1112000	1122000	And that's the move in the electrical field, okay? So that's the first structure, huh?
1122000	1132000	Some voltage, they are applied, and you can see that there is a positive current appearing, okay, quite large,
1132000	1143000	positive current, when they have, so they call it E and Z C8 3R, okay? And they have a positive current appearing
1143000	1159000	upon their expression, okay? And if they measure the maximum current at each voltage, they could plot an ID curve, okay?
1159000	1170000	And you can see that the current at here, or start to appear, plus, after plus, short, immediate work, okay?
1170000	1182000	So what implies this positive current? What does mean the positive current?
1182000	1193000	What does your positive current, what does it mean?
1193000	1200000	The positive current is called the sum of the cells.
1200000	1201000	Did it close?
1201000	1202000	Uh-huh.
1202000	1213000	Did it close, sir?
1213000	1222000	If I have a negative current.
1222000	1248000	When we studied the calcium channel in the lethal scale, we had a current, I guess, that's the ID curve, that's the current voltage, that's the ID curve,
1248000	1253000	the current was negative. What does it mean for calcium?
1253000	1255000	In the function.
1255000	1258000	In the function, okay?
1258000	1269000	When you have a sodium current, you can see the negative current, so it's an influx of code, okay?
1269000	1295000	When you have a positive current, it's the negative current for calcium.
1295000	1321000	So you have to be careful when you measure potassium current, you can measure also the same.
1322000	1336000	But if it's potassium, it means it's a flux of potassium. But here, it's a chloride, and you measure positive current, so it's an influx of chloride, okay?
1336000	1341000	So please remember this, okay? So you are in a chloride, so everything is opposite.
1341000	1363000	So it means that in a positive membrane potential, when the membrane potential is positive, the chloride is coming inside the cell, why?
1363000	1375000	So when I said the voltage is clamped plus 80, what does it mean?
1375000	1404000	What is it plus 8? This is inside, this is outside, the chloride is here, and it means, okay, plus 80 millivolts, what is it plus 40 millivolts?
1404000	1412000	After resting potential, do you remember what is the resting potential?
1412000	1422000	How does it mean down to the plasma membrane? Close.
1422000	1430000	So what means the plasma membrane potential?
1430000	1447000	Yeah, okay, so I draw the membrane like this. When you measure a membrane potential, you measure the potential difference between what and what?
1447000	1465000	One is inside and outside. Inside and outside, okay? So when the membrane potential is minus 60 means the inside is more negative than outside.
1466000	1471000	So when they set the membrane potential at plus 80 means that?
1471000	1481000	It's plus 80. Yeah, inside or positive, okay? And outside is negative. That's why the chloride moves in, okay?
1481000	1499000	So that's why they can measure positive curve, okay? So they put three arginine in a different position, okay?
1500000	1510000	And they could measure, and now for current, and this is figure one, okay? Control, nothing.
1511000	1534000	T and C8, almost no current, here. This is the reward of crack, okay? And when they put three arginine here with a plasma membrane potential, they could see a current increase, okay?
1534000	1548000	And quite positive potential, so usually the maximum action potential comes around plus 40 plus 50, okay? So these are little bit extra, okay?
1548000	1565000	So they put the current as plus 100 millivolts here. They put the bar graph, and they put all the N numbers, okay? And they compare with the control and the original design, okay?
1565000	1579000	So by just changing of your amino acid in the alpha helix design, okay? So your amino acid generates a voltage dependent current, okay?
1579000	1595000	It's still quite good, okay? So that's the current, and you go 25, 14, and that's enough for making a good statistic difference, okay?
1596000	1604000	Then we'll go, what is this? Toe, toe act, and toe, yeah?
1609000	1614000	Let me see, how? But we'll present how in a second.
1621000	1623000	No? Good.
1626000	1636000	The time between here and here.
1637000	1647000	So the time, yeah, the time when the getting started, and so, but you see here, you have the impression it's just a straight line.
1647000	1657000	But if you, this is 100 milliseconds, but if you just zoom here, you will see something like this, okay?
1658000	1681000	So what kind of, you can measure the half time to the peak, how the results, man, what's in peak, what kind of growth,
1682000	1692000	exponential, and from the formula, there is something in the formula, how is the half time, okay?
1693000	1700000	So usually, you can measure how fast this will give the how fast at all channel growth, okay?
1701000	1705000	Some channels are very slow, some channels are very fast, okay?
1705000	1716000	So you see that the more you increase the potential difference, the faster they will open, okay?
1717000	1721000	Very slow, faster, faster, okay?
1722000	1734000	And how the act of deactivation, that's the difference between deactivation and deactivation.
1735000	1746000	Yeah, deactivation, yeah, one more time.
1747000	1756000	Deactivation means that it can't open, and deactivation means it can't for a certain amount of time.
1757000	1761000	Not so correct, but pro.
1766000	1768000	Anyone else pro for something else?
1776000	1783000	So what is activation? So what are the three major conformation of the channel?
1787000	1788000	Before activation.
1789000	1790000	These?
1791000	1793000	Which one?
1794000	1795000	These?
1796000	1797000	Pro.
1799000	1801000	And then you have activation.
1804000	1805000	Activation.
1806000	1811000	So that's why they measure how activation is.
1812000	1814000	After activation is?
1816000	1817000	Pro.
1819000	1820000	Pro.
1821000	1823000	Don't be slow, don't be slow.
1828000	1837000	And then something happens, and then it's inactivation, okay?
1838000	1846000	And this is called deactivation, okay?
1847000	1859000	So you can measure the flow of an activation, and then it has come back again to the flow of the activation.
1860000	1864000	And this is called deactivation.
1868000	1871000	Okay, all of these are deactivation.
1872000	1875000	There is no deactivation, okay?
1876000	1896000	So this is in terms of potential, if you have a question, this is the potential is the, for example, resting potential.
1898000	1903000	When it's open, it's depolarized, plus 4, then it evolves.
1904000	1907000	What's the voltage when it's inactivation?
1910000	1911000	Huh?
1912000	1914000	What's minus 6 here or plus 4?
1916000	1917000	Minus 6.
1919000	1920000	Plus 4.
1920000	1921000	Plus 4.
1925000	1926000	Okay, huh?
1927000	1937000	When you have the voltage protocol on the touch ground, you start from at 1 minus 6T and go to plus 4T.
1938000	1939000	Minivolt.
1942000	1943000	This is your current.
1944000	1952000	If it's a custom channel, this is the activation.
1954000	1971000	This is the scheme.
1972000	1973000	What is this one?
1977000	1978000	Huh?
1979000	1980000	Activation.
1983000	1984000	What is this one?
1986000	1987000	Inactivation.
1987000	1988000	Yes.
1991000	1992000	Inactivation.
1993000	1995000	And then when you put the chuck on what?
1998000	1999000	Where is deactivation?
2002000	2004000	This is deactivation.
2007000	2008000	Huh?
2009000	2010000	Come back to the closed form formation.
2011000	2012000	It's inactivated.
2013000	2016000	It's open, but no ion can pass, okay?
2017000	2019000	There's a rock, okay?
2022000	2024000	Activation, okay?
2024000	2032000	So here, there's a tau for activation, so the time, it's very short, huh?
2033000	2037000	It can be very fast activation or it can be very slow activation.
2038000	2040000	So they merge your time.
2041000	2044000	They didn't merge your inactivation. Why?
2046000	2049000	Because basically there's no inactivation.
2050000	2052000	If it goes down, there is inactivation.
2053000	2056000	Some channels, some natural channels don't have inactivation.
2057000	2061000	But then, the potential goes back to zero.
2062000	2069000	So there is some time from here down, or this is the deactivation.
2070000	2078000	tau plus tau, tau plus tau divided by tau, tau of T and tau of E, tau of A, okay?
2079000	2081000	Carbon... parameter of time, yes?
2083000	2084000	Essentially.
2089000	2090000	Yeah.
2091000	2092000	This is deactivation.
2093000	2097000	All the channels deactivate when you come back to the resting potential.
2097000	2114000	potential. But some channels are very slow or don't inactivate. Most of channels inactivate but there are very rare natural channels that
2114000	2128360	don't inactivate. One example is EC3 in the whole site of the Xenopus. When you have the
2128480	2147940	protonal reaction, the membrane potential will arise and this will also prevent the entry of the
2147940	2157580	inactivation. So here we are. So they measure the time and they also feed the exponential decay.
2157580	2178660	Okay, that's just a little characterization and then what they measure in here. So they are experimental
2178660	2206660	condition and they put chloride as a major ion and as a cation, they remove the sodium and they put what's called an N-M-B-G inside and outside and they could measure the current and then they change the ionic condition in the
2206660	2233660	pipe and in the vase. In the vase they keep N-M-B-G chloride but they replace N-M-B-G by sodium and they replace the chloride by sodium butamine. And you can see they are c current and then they replace the outside ion
2233660	2259660	sodium chloride by N-M-B-G chloride by sodium butamine. Outside and inside and you see no current. Then the video positive, inside with the pipe that will be inside they have N-M-B-G chloride and sodium butamine and there is no current. So what does this indicate?
2259660	2265660	There is current only when you have
2265660	2279660	What you have
2279660	2289660	When you have
2289660	2303660	When you have
2303660	2325660	When you have
2325660	2353660	There is no current
2353660	2381660	There is no current
2381660	2410660	If you have sodium outside N-M-B-G inside so you have a strong potential, electrochemical potential for sodium moving inside but there is no current so the sodium doesn't pass through the channel
2410660	2436660	Okay, probably only chloride. So it also gives you an indication of the silicon. And then to measure the, to measure the silicon, as we saw in the last week, they measure the reverse of potential using different anions.
2437660	2462660	Chloride, bromide, iodide, pure nitrate. They are all negative. And you see that, because of potential change a little bit and using the Reynolds equation, they could measure the ratio, they could check the permeability between chloride and another ion.
2462660	2480660	And they could see that the most permeable ion, anion, is chloride compared to bromide, chloride, nitrate, nitrate, and iodide.
2480660	2501660	And this is very special because most of the, say, chloride channels are more permeable for these ions than for chloride. So this makes a really artificial but purely, not purely, but more permeable for chloride and other ions.
2501660	2520660	This is quite interesting. And this is the IID. And in the supplementary region, you see that the current in the different conditions. And how they measure this reverse of potential, they use, this is the protocol they use with the IID.
2520660	2538660	They use another protocol that is called tail current. So they measure the, they need the same vaporization, but they vaporize a different operation, and they measure what is called the tail current.
2538660	2545660	And they measure the current in the tail, and they can measure here.
2550660	2562660	So in the challenging activity, you have a remaining current, okay, and this current reverse of the current potential, depending on the ion.
2562660	2569660	And you can change the ion information, but you can't change the first part of the machine.
2569660	2581660	And the last thing they need, what is this?
2581660	2587660	What is the first scan of the body?
2587660	2591660	This is the whole cell.
2591660	2610660	So all the channels on the surface of the plasma membrane.
2610660	2632660	Yeah, simple channel measurement. So the whole cell, you put the biped, break the membrane under the biped, measure all the current of all the channels, and they could measure the current like this when they do the work-based steps.
2632660	2649660	Or they can, they can just take a piece of membrane, and if you have a channel, you can measure one channel active.
2649660	2670660	You can measure the conductance, or you can measure how many ions can pass through a single channel. You can calculate how you can calculate if this current is 1 to 4 ampere within, okay, instantaneously.
2670660	2690660	You can measure how many chloride ions pass through the channel at one single ion, or you can calculate this.
2690660	2700660	One from there, how many ions?
2700660	2705660	How many ions can pass when you have 1 to 4 ampere?
2705660	2709660	How many ions it represents?
2709660	2720660	Current is, current definition is?
2720660	2723660	Column per second, column second.
2723660	2727660	Okay, but exactly this time, so 1 to 4 ampere.
2727660	2728660	1 second.
2728660	2734660	And 1 coulomb per second.
2734660	2735660	1 coulomb.
2735660	2736660	1 charge.
2736660	2737660	1 charge.
2737660	2739660	Yeah, probably 1 to 1 electron charge.
2739660	2747660	1.6, 1 was extent of minus 19 coulombs.
2747660	2748660	Yeah.
2749660	2752660	Minus 19.
2753660	2756660	Okay, so this is 1, 1.
2756660	2765660	So when you have 1 to 4 ampere, how many charges?
2765660	2769660	What is 1 to 4 ampere?
2769660	2771660	N minus 12.
2771660	2772660	1.
2772660	2773660	Okay.
2773660	2785660	So 10 minus 1, so you have 10, 1.6, 10 to the minus, plus 7.
2785660	2786660	Yeah, plus 7.
2786660	2798660	So you have 16 million.
2798660	2813660	I think we need to divide 10 by 1.6, so it's not 16.
2813660	2816660	Oh, yeah.
2816660	2819660	No, it's like something 10 divided.
2819660	2820660	Ah, 10 divided.
2820660	2821660	Yeah.
2831660	2832660	6 million.
2832660	2833660	Yeah.
2833660	2835660	6.25 million.
2841660	2842660	Okay.
2842660	2843660	All right.
2843660	2846660	I can pass in 1 to contact.
2846660	2847660	Okay.
2847660	2857660	If you want to calculate how much you have to calculate this area here.
2857660	2859660	But yeah, it gives you an indication.
2859660	2867660	So it's very efficient for a lot of ions can pass through the channel very fast.
2867660	2868660	Okay.
2868660	2874660	So usually you don't measure like this, but what you do.
2874660	2880660	So they recall the current of a single channel in different voltage for several seconds.
2880660	2881660	Okay.
2881660	2882660	And you can see here.
2882660	2891660	So the more you depolarize, the more the current increase and the more activity increase.
2891660	2892660	Okay.
2892660	2894660	And this is a small square.
2894660	2898660	It's a zoom of the activity here for 200 milliseconds.
2898660	2899660	Okay.
2899660	2901660	So they can make the ID.
2901660	2906660	The ID block, which looks like this one.
2906660	2907660	Okay.
2907660	2912660	And they measure what's called the open problem.
2912660	2916660	So is the channel open or closed?
2916660	2922660	So it's the time the channel is open over the time of the whole recording.
2922660	2926660	It gives that kind of problem to the channel is open.
2926660	2928660	So it's 30 millivolts.
2928660	2930660	The problem is very low.
2930660	2933660	0.1 or less.
2933660	2937660	But then you can increase the membrane potential.
2937660	2940660	The problem becomes more than half.
2940660	2943660	More than half of the time.
2943660	2945660	Okay.
2945660	2947660	That's what it means.
2947660	2951660	It's an indication of the channel activity.
2951660	2955660	So next, what they need.
2955660	2968660	They made the structure of the channel by prior year.
2968660	2976660	So as we discussed before, they checked, they take a picture with a high voltage income microscopy.
2976660	2979660	We have here Nagoya, one or two ICs.
2979660	2985660	So for those who are interested, professor, the structure of proteins,
2985660	2989660	if you are interested in measuring the structure of the proteins,
2989660	2993660	you can join the labs like this.
2993660	3001660	And you can reconstitute and make the image of the alphabets of your protein.
3001660	3008660	And the image fits with their prediction, their design prediction.
3008660	3016660	So pentamer of three alphabets with alphabets number two being in the center and forming the core.
3016660	3018660	Okay.
3018660	3021660	And they add here this DTT domain.
3021660	3028660	So this DTT domain belongs to a potassium channel whose structure is known.
3028660	3031660	And it's a trick.
3031660	3037660	It's a kind of trick that helps the formation of the alphabets.
3037660	3049660	So if you have a C-terminal or N-terminal fusion or even in between the alphabets,
3049660	3060660	it stabilizes the protein, helps for the crystallization, the purification, and the crystal formation.
3060660	3069660	So it really helps the resolution of the crystal structure of proteins,
3069660	3075660	especially membrane proteins, which are quite difficult to crystallize.
3075660	3082660	And then they can see inside the core the alignment of the arginine.
3082660	3089660	And they could see here a constriction that made the gate of the channel.
3089660	3095660	So you can see that they measure the distance between the alphabets here.
3095660	3100660	And you can see that after 1.57, the constriction is very strong.
3100660	3103660	So it means that it's slow.
3103660	3110660	And what they need also, they purify or they make the crystal in the presence of a negative ion.
3110660	3114660	And they use ion, which is maybe easier to be made.
3114660	3123660	And they could see that the ion is trapped here between the arginine residue.
3123660	3131660	So this also means there is a selection of heat terms here inside.
3131660	3143660	So that was well done, because just by adding the arginine, they could make voltage sensing.
3143660	3154660	And chloride safety filter.
3154660	3160660	So that's the advantage of their system.
3160660	3166660	And here, so they could see the arginine, how they are displayed.
3166660	3172660	And you can see that depending on the position, the arginine side chain
3172660	3179660	are a little bit differently displayed inside the pore.
3179660	3192660	And that's why you have 1.57 is more constricted here, more closed inside.
3192660	3201660	And as for a natural channel, when you want to understand, of course you can see here in the structure
3201660	3208660	what you want to confirm that it's an important amino acid for the conduction.
3208660	3216660	So they did a metagenesis. They changed the amino acid for arginine or glycine or other amino acid.
3216660	3221660	And you can see that it would reduce the current.
3221660	3229660	So it means that arginine 165 is quite important for the current conduction.
3229660	3238660	When they change amino acid, the current is not more rectified, but also reversed.
3238660	3245660	So you can play with the system, and you can change the amino acid, and you can see that you change.
3245660	3251660	You can leave the characteristic of your channel.
3251660	3266660	Change of the selectivity, so you can play with the system.
3266660	3274660	What was interesting?
3274660	3279660	What was interesting?
3279660	3288660	The first design that doesn't contain the three arginine does not show any current.
3288660	3301660	But when they saw the structure, they could see a very large pore in here.
3301660	3309660	And the radius is large through the whole pore.
3309660	3329660	But they could not record current while they give an hypothesis.
3329660	3340660	When they see the current, it's quite large, so ions would easily pass whatever ions would easily pass inside.
3340660	3343660	Electrostatic interacting?
3343660	3351660	That's one explanation. There is no electrostatic attraction by the arginine.
3351660	3359660	But even if you impose a potential, you should see something moving.
3359660	3368660	If you have a negative here, positive here, and you have a sodium, it could pass.
3368660	3372660	What do they see here?
3373660	3378660	When you saw the structure of the channel, you did the arginine.
3378660	3383660	And inside the structure, they could see the arginine, which almost be repeats.
3383660	3393660	So one of their explanations is that mainly the pore is large, so some repeats can enter here and block the channel.
3393660	3397660	But that's just an hypothesis.
3403660	3418660	And then they did an MD simulation, so they can see the chloride pass in thermal influx.
3418660	3423660	At 500 mV, it's quite big, but it's a simulation.
3423660	3435660	But they can see the position change of the ion compared to the sodium, where they don't see any change in their simulation.
3435660	3443660	Maybe other kind of structural analysis, which I don't understand well.
3443660	3449660	And then finally, they could make a model of their channel.
3449660	3465660	And this is also the crystal structure with the ionized onion, or iodide, inside the structure and trapped within the arginine region.
3465660	3470660	They could take a picture with the ion.
3470660	3477660	So the crystal structure is always something that is just one picture, the present picture.
3477660	3492660	It's not dynamic, but recently, they can do structure at different positions, at different kind of time codes of the different structural channels.
3492660	3497660	So the technique also is involved in the past.
3497660	3501660	Just I forgot to mention.
3501660	3504660	So they did also biochemical analysis.
3504660	3511660	They did different, so they observed the protein expression in the membranes.
3511660	3521660	And they did immunostaining, where they expressed the channel and they infused with the GFP in the oocyte.
3521660	3528660	And you can see that the expression is only around the oocyte.
3528660	3531660	It's the surface expression.
3531660	3534660	The channel is well expressed in the plasma membrane.
3534660	3541660	And they used facts to study the expression on egg cells.
3541660	3548660	And they could see the sheet in the fluorescence indicating the surface expression.
3548660	3554660	Do you know what is the facts?
3554660	3557660	Not facts like this.
3557660	3560660	It's all standard.
3560660	3565660	The key facts.
3565660	3568660	How much is using in the lab?
3569660	3573660	The rest of them.
3573660	3576660	Is it seven?
3576660	3579660	One is eight.
3579660	3581660	Assisted?
3581660	3582660	Yeah.
3582660	3586660	Oh, really?
3586660	3589660	Okay.
3589660	3595660	So what is this?
3595660	3597660	Who knows?
3597660	3599660	Who doesn't know?
